timestamp,current_temperature,current_humidity,current_condition,future_condition_after_2hr
2025-01-01 00:00:00,32.48,55.76,Sunny,Cloudy
2025-01-01 00:05:00,29.31,55.47,Cloudy,Cloudy
2025-01-01 00:10:00,33.24,42.04,Cloudy,Sunny
2025-01-01 00:15:00,37.62,56.7,Cloudy,Cloudy
2025-01-01 00:20:00,28.83,67.33,Sunny,Sunny
2025-01-01 00:25:00,28.83,47.26,Cloudy,Rainy
2025-01-01 00:30:00,37.9,70.48,Sunny,Sunny
2025-01-01 00:35:00,33.84,64.88,Rainy,Rainy
2025-01-01 00:40:00,27.65,52.66,Sunny,Rainy
2025-01-01 00:45:00,32.71,58.58,Rainy,Rainy
2025-01-01 00:50:00,27.68,75.98,Rainy,Sunny
2025-01-01 00:55:00,27.67,67.34,Rainy,Rainy
2025-01-01 01:00:00,31.21,60.09,Sunny,Rainy
2025-01-01 01:05:00,20.43,57.62,Rainy,Sunny
2025-01-01 01:10:00,21.38,60.77,Rainy,Sunny
2025-01-01 01:15:00,27.19,54.88,Sunny,Sunny
2025-01-01 01:20:00,24.94,38.95,Sunny,Rainy
2025-01-01 01:25:00,31.57,80.42,Sunny,Sunny
2025-01-01 01:30:00,25.46,61.55,Rainy,Cloudy
2025-01-01 01:35:00,22.94,63.98,Sunny,Sunny
2025-01-01 01:40:00,37.33,59.42,Cloudy,Sunny
2025-01-01 01:45:00,28.87,52.65,Sunny,Sunny
2025-01-01 01:50:00,30.34,58.14,Sunny,Rainy
2025-01-01 01:55:00,22.88,44.01,Sunny,Rainy
2025-01-01 02:00:00,27.28,82.77,Rainy,Sunny
2025-01-01 02:05:00,30.55,47.65,Rainy,Rainy
2025-01-01 02:10:00,24.25,49.68,Sunny,Rainy
2025-01-01 02:15:00,31.88,55.6,Rainy,Rainy
2025-01-01 02:20:00,27.0,72.88,Rainy,Sunny
2025-01-01 02:25:00,28.54,60.15,Rainy,Cloudy
2025-01-01 02:30:00,26.99,47.64,Sunny,Rainy
2025-01-01 02:35:00,39.26,72.54,Cloudy,Rainy
2025-01-01 02:40:00,29.93,67.31,Rainy,Cloudy
2025-01-01 02:45:00,24.71,65.38,Rainy,Rainy
